html,href,title,author,journal,type,date
"<div class=""article-listing"">
<p><a href=""/Library/Article/first-aid-kit-ithe-lions-roari"">First Aid Kit: <i>The Lion's Roar</i></a></p>
<p>Review by Rob Young, <i>The Word</i>, February 2012</p>
<p class=""excerpt"">Gorgeous close-harmony singing and undiluted Americana —from the wide-open prairies of Stockholm ...</p>
</div>",/Library/Article/first-aid-kit-ithe-lions-roari,The Lion's Roar,Rob Young,The Word,Review,February 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/various-artists-icountry--western-hit-parade-1961-1965i-"">Various Artists: <i>Country &amp; Western Hit Parade 1961-1965</i> </a></p>
<p>Review by Andy Gill, <i>The Word</i>, February 2012</p>
<p class=""excerpt"">At the height of rock and roll, country music fought hack with a string of urban-hillbilly hits. But did they go too far? ...</p>
</div>",/Library/Article/various-artists-icountry--western-hit-parade-1961-1965i-,Country & Western Hit Parade 1961-1965 ,Andy Gill,The Word,Review,February 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/earl-scruggs-passes-on-three-fingers-hippie-kids--a-grace-thats-felt-round-the-world"">Earl Scruggs Passes On: Three Fingers, Hippie Kids + A Grace That's Felt 'Round The World</a></p>
<p>Memoir by Holly Gleason, <i>No Depression</i>, 28 March 2012</p>
<p class=""excerpt"">I'LL NEVER LOOK at the Waffle House the same way. The one out by the Assault &amp; Battery Lane exit, 65 South out of Nashville, ...</p>
</div>",/Library/Article/earl-scruggs-passes-on-three-fingers-hippie-kids--a-grace-thats-felt-round-the-world,"Three Fingers, Hippie Kids + A Grace That's Felt 'Round The World",Holly Gleason,No Depression,Memoir,28 March 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/earl-scruggs-1924-2012"">Earl Scruggs, 1924-2012</a></p>
<p>Obituary by Tony Russell, <i>The Guardian</i>, 29 March 2012</p>
<p class=""excerpt"">Banjo player with a breathtaking style who shaped bluegrass and explored other genres ...</p>
</div>",/Library/Article/earl-scruggs-1924-2012,"Earl Scruggs, 1924-2012",Tony Russell,The Guardian,Obituary,29 March 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/nanci-griffith-iintersectioni"">Nanci Griffith: <i>Intersection</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 10 April 2012</p>
<p class=""excerpt"">""I'M STILL GONE and it's all the same/ I'm taking notes and naming names…"" snarls Nanci Griffith on the churlish, Pogues-evoking-the-Everlys 'Hell No, I'm Not ...</p>
</div>",/Library/Article/nanci-griffith-iintersectioni,Intersection,Holly Gleason,Paste,Review,10 April 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/ray-wylie-hubbard-plays-joes-pub-tonight-talks-new-album-with-a-beatle"">Ray Wylie Hubbard plays Joe's Pub tonight, talks new album (with a Beatle)</a></p>
<p>Report and Interview by Jeff Slate, <i>Examiner.com</i>, 17 May 2012</p>
<p class=""excerpt"">RAY WYLIE HUBBARD will bring his raw, honest Texas rock'n'roll to Joe's Pub tonight. When I caught up with him the other day he was ...</p>
</div>",/Library/Article/ray-wylie-hubbard-plays-joes-pub-tonight-talks-new-album-with-a-beatle,"Ray Wylie Hubbard plays Joe's Pub tonight, talks new album (with a Beatle)",Jeff Slate,Examiner.com,Report and Interview,17 May 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/alan-jackson-30-miles-west-and-movin"">Alan Jackson: 30 Miles West, and Movin'</a></p>
<p>Profile and Interview by Holly Gleason, <i>No Depression</i>, 30 May 2012</p>
<p class=""excerpt"">""So here I am on my stool tonight Yeah, I'm practicing for the afterlife, Cause when I'm nothing but a pile of bones I'm gonna ...</p>
</div>",/Library/Article/alan-jackson-30-miles-west-and-movin,"30 Miles West, and Movin'",Holly Gleason,No Depression,Profile and Interview,30 May 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/willie-nelsons-iheroesi-a-great-fathers-day-pick-says-his-son-lukas"">Willie Nelson's <i>Heroes</i> a great Father's Day pick says his son, Lukas</a></p>
<p>Report and Interview by Jeff Slate, <i>Examiner.com</i>, 15 June 2012</p>
<p class=""excerpt"">""HE'S A GREAT DAD. I'm an incredibly lucky guy to have grown up with him,"" Lukas Nelson told me of his dad, music legend Willie ...</p>
</div>",/Library/Article/willie-nelsons-iheroesi-a-great-fathers-day-pick-says-his-son-lukas,"Willie Nelson's Heroes a great Father's Day pick says his son, Lukas",Jeff Slate,Examiner.com,Report and Interview,15 June 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/new-band-of-the-week-robert-ellis"">Robert Ellis: New band of the week: Robert Ellis</a></p>
<p>Profile by Paul Lester, <i>The Guardian</i>, 4 July 2012</p>
<p class=""excerpt"">Gram Parsons is long dead, but those with a taste for LA country might sense the return of the Grievous Angel in this singer ...</p>
</div>",/Library/Article/new-band-of-the-week-robert-ellis,New band of the week: Robert Ellis,Paul Lester,The Guardian,Profile,4 July 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/dawes-an-interview"">Dawes: An Interview</a></p>
<p>Interview by Graeme Thomson, <i>Uncut</i>, August 2012</p>
<p class=""excerpt"">""SOMEONE TOLD ME that Bruce Springsteen is aware of our band."" At the end of a telephone wire some 5,000 miles away, 25-year-old Taylor Goldsmith ...</p>
</div>",/Library/Article/dawes-an-interview,An Interview,Graeme Thomson,Uncut,Interview,August 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/honky-tonk-women-the-female-artists-who-made-it-big-in-country-music"">Kitty Wells, Jean Shepard, Bonnie Guitar: Honky-tonk women: the female artists who made it big in country music</a></p>
<p>Report and Interview by Sean O'Hagan, <i>The Guardian</i>, 6 September 2012</p>
<p class=""excerpt"">It's not easy for women to survive in the macho world of country. Some of those who did, such as Jean Shepard and Bonnie Guitar, ...</p>
</div>",/Library/Article/honky-tonk-women-the-female-artists-who-made-it-big-in-country-music,Honky-tonk women: the female artists who made it big in country music,Sean O'Hagan,The Guardian,Report and Interview,6 September 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/chely-wrights-rediscovered-country"">Chely Wright's Rediscovered Country</a></p>
<p>Profile by Charles Bermant, <i>No Depression</i>, 24 September 2012</p>
<p class=""excerpt"">WE ALL HOLD our own set of prejudices and preconceptions, with clear ideas about politics and religion, tolerance and hatred for country music singers and ...</p>
</div>",/Library/Article/chely-wrights-rediscovered-country,Chely Wright's Rediscovered Country,Charles Bermant,No Depression,Profile,24 September 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/honoring-connie-smith-45-rpm-at-douglas-corner-nashville"">Connie Smith: Honoring Connie Smith: 45 RPM at Douglas Corner, Nashville</a></p>
<p>Live Review by Holly Gleason, <i>No Depression</i>, 7 November 2012</p>
<p class=""excerpt"">FOR THOSE WHO believe real country music has fled Nashville, the recent CMA Awards would do little to ease your notion. Bombast, smoke, lasers and ...</p>
</div>",/Library/Article/honoring-connie-smith-45-rpm-at-douglas-corner-nashville,"Honoring Connie Smith: 45 RPM at Douglas Corner, Nashville",Holly Gleason,No Depression,Live Review,7 November 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/kris-kristofferson-troubadour-writing-on-into-the-sunset"">Kris Kristofferson: Troubadour writing on into the sunset</a></p>
<p>Interview by Rob Hughes, <i>Daily Telegraph</i>, 4 December 2012</p>
<p class=""excerpt"">Country singer Kris Kristofferson reflects on a long and ""lucky"" career on his new album, Feeling Mortal. He talks to Rob Hughes about why. ...</p>
</div>",/Library/Article/kris-kristofferson-troubadour-writing-on-into-the-sunset,Troubadour writing on into the sunset,Rob Hughes,Daily Telegraph,Interview,4 December 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/rodney-crowell-ben-bullington-and-more-station-inn-nashville"">Ben Bullington, Rodney Crowell: Rodney Crowell, Ben Bullington and More: Station Inn, Nashville</a></p>
<p>Live Review by Holly Gleason, <i>No Depression</i>, 7 December 2012</p>
<p class=""excerpt"">BEN BULLINGTON had never played Nashville. The Montana doctor who'd lovingly crafted three albums thick with simple details and a voice that has a warm ...</p>
</div>",/Library/Article/rodney-crowell-ben-bullington-and-more-station-inn-nashville,"Rodney Crowell, Ben Bullington and More: Station Inn, Nashville",Holly Gleason,No Depression,Live Review,7 December 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/lady-antebellum-ion-this-winters-nighti"">Lady Antebellum: <i>On This Winter's Night</i></a></p>
<p>Review by Caroline Sullivan, <i>The Guardian</i>, 13 December 2012</p>
<p class=""excerpt"">A CHRISTMAS ALBUM by America's unfathomably all-conquering Lady A? Why didn't they think of it before? In fact, they almost did — six of the 12 tracks ...</p>
</div>",/Library/Article/lady-antebellum-ion-this-winters-nighti,On This Winter's Night,Caroline Sullivan,The Guardian,Review,13 December 2012
"<div class=""article-listing"">
<p><a href=""/Library/Article/dawn-mccarthy--bonnie-prince-billy-iwhat-the-brothers-sangi"">Dawn McCarthy &amp; Bonnie ""Prince"" Billy, Everly Brothers, The: Dawn McCarthy &amp; Bonnie ""Prince"" Billy: <i>What The Brothers Sang</i></a></p>
<p>Review by Jamie Atkins, <i>Record Collector</i>, February 2013</p>
<p class=""excerpt"">FOLLOWING THEIR bleakly festive 'Christmas Eve Can Kill You' single, Will Oldham and Dawn McCarthy return for an album-length exploration of the Everly Brothers’ songbook. ...</p>
</div>",/Library/Article/dawn-mccarthy--bonnie-prince-billy-iwhat-the-brothers-sangi,"Dawn McCarthy & Bonnie ""Prince"" Billy: What The Brothers Sang",Jamie Atkins,Record Collector,Review,February 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/emmylou-harris--rodney-crowell-friendship-aged-like-bluebird-wine"">Emmylou Harris, Rodney Crowell: Emmylou Harris &amp; Rodney Crowell: Friendship Aged Like Bluebird Wine</a></p>
<p>Profile and Interview by Geoffrey Himes, <i>Paste</i>, 19 February 2013</p>
<p class=""excerpt"">WHEN GEORGE JONES asked Emmylou Harris to sing a duet with him on his 1979 album My Very Special Guests, she suggested a song by ...</p>
</div>",/Library/Article/emmylou-harris--rodney-crowell-friendship-aged-like-bluebird-wine,Emmylou Harris & Rodney Crowell: Friendship Aged Like Bluebird Wine,Geoffrey Himes,Paste,Profile and Interview,19 February 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-mavericks-iin-timei"">Mavericks, The: The Mavericks: <i>In Time</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 27 February 2013</p>
<p class=""excerpt"">NASHVILLE HAD NEVER quite heard the likes of The Mavericks, a Miami five-piece with a retro countrypolitan lean and a Cuban-American lead singer with a ...</p>
</div>",/Library/Article/the-mavericks-iin-timei,The Mavericks: In Time,Holly Gleason,Paste,Review,27 February 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/old-friends-new-record-emmylou-harris-and-rodney-crowell"">Emmylou Harris, Rodney Crowell: Old Friends, New Record: Emmylou Harris and Rodney Crowell</a></p>
<p>Profile and Interview by David Burke, <i>R2/Rock'n'Reel</i>, March 2013</p>
<p class=""excerpt"">It was a long time coming but, as Emmylou Harris and Rodney Crowell explain to David Burke, their new album together was all a matter ...</p>
</div>",/Library/Article/old-friends-new-record-emmylou-harris-and-rodney-crowell,"Old Friends, New Record: Emmylou Harris and Rodney Crowell",David Burke,R2/Rock'n'Reel,Profile and Interview,March 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/ashley-monroe-ilike-a-rosei"">Ashley Monroe: <i>Like A Rose</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 12 March 2013</p>
<p class=""excerpt"">TO LOOK AT THE PRETTY GIRL in the sundress under the parasol, Ashley Monroe could be one more Southern belle looking for her place in ...</p>
</div>",/Library/Article/ashley-monroe-ilike-a-rosei,Like A Rose,Holly Gleason,Paste,Review,12 March 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/kacey-musgraves-isame-trailer-different-parki"">Kacey Musgraves: <i>Same Trailer, Different Park</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 26 March 2013</p>
<p class=""excerpt"">KACEY MUSGRAVES, 23, sings unvarnished truths about being hooked on ""Mary Kay, Mary Jane and Mary down the block,"" but she's maintained the sunniness that ...</p>
</div>",/Library/Article/kacey-musgraves-isame-trailer-different-parki,"Same Trailer, Different Park",Holly Gleason,Paste,Review,26 March 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/george-jones-farewell-to-the-king-of-heartbreak"">George Jones: Farewell to the King of Heartbreak</a></p>
<p>Retrospective by Peter Stone Brown, <i>CounterPunch</i>, 26 April 2013</p>
<p class=""excerpt"">THIS MORNING while finishing my first cup of coffee and checking my Facebook notifications, an email came from a good friend of mine.  The title ...</p>
</div>",/Library/Article/george-jones-farewell-to-the-king-of-heartbreak,Farewell to the King of Heartbreak,Peter Stone Brown,CounterPunch,Retrospective,26 April 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/where-eagles-dared-californias-signature-rock-band-comes-to-london"">Eagles, The: Where Eagles Dared: California's Signature Rock Band Comes to London</a></p>
<p>Report by Barney Hoskyns, <i>Rock's Backpages</i>, 29 April 2013</p>
<p class=""excerpt"">
Messrs. Schmit, Henley, Frey and Walsh (photo: Debbie Kruger)
WELCOME TO the Hotel Connaught, the plush old Mayfair institution where Glenn Frey, Don Henley, Joe Walsh ...</p>
</div>",/Library/Article/where-eagles-dared-californias-signature-rock-band-comes-to-london,Where Eagles Dared: California's Signature Rock Band Comes to London,Barney Hoskyns,Rock's Backpages,Report,29 April 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/crossing-county-lines-jerry-douglas--alison-krauss-call-their-friends-for-americana-night"">Alison Krauss: Crossing County Lines: Jerry Douglas + Alison Krauss Call Their Friends for Americana Night</a></p>
<p>Live Review by Holly Gleason, <i>No Depression</i>, 3 June 2013</p>
<p class=""excerpt"">AMERICANA – as the big tent pitched by the Americana Music Association – is its own conundrum. Drawing an audience that's decidedly 30+, it embraces ...</p>
</div>",/Library/Article/crossing-county-lines-jerry-douglas--alison-krauss-call-their-friends-for-americana-night,Crossing County Lines: Jerry Douglas + Alison Krauss Call Their Friends for Americana Night,Holly Gleason,No Depression,Live Review,3 June 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/guy-clark-imy-favorite-picture-of-youi"">Guy Clark: <i>My Favorite Picture Of You</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 23 July 2013</p>
<p class=""excerpt"">AS HE ENTERS HIS 70TH YEAR, Guy Clark consolidates his standing as the eminence grise of Texas singer/songwriters with My Favorite Picture of You. A ...</p>
</div>",/Library/Article/guy-clark-imy-favorite-picture-of-youi,My Favorite Picture Of You,Holly Gleason,Paste,Review,23 July 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/the-civil-wars-ithe-civil-warsi"">Civil Wars, the: The Civil Wars: <i>The Civil Wars</i></a></p>
<p>Review by Will Hermes, <i>Rolling Stone</i>, 1 August 2013</p>
<p class=""excerpt"">TAYLOR SWIFT disses exes with singalong choruses, Rihanna duets with her abusive beau, but no pop act makes outsize romantic dysfunction sound as extravagantly pretty ...</p>
</div>",/Library/Article/the-civil-wars-ithe-civil-warsi,The Civil Wars: The Civil Wars,Will Hermes,Rolling Stone,Review,1 August 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/jack-clement-1931-2013"">Jack Clement, 1931-2013</a></p>
<p>Obituary by Tony Russell, <i>The Guardian</i>, 11 August 2013</p>
<p class=""excerpt"">JACK CLEMENT, who has died aged 82, was not only a prolific and successful songwriter and an able musician but had a long track record ...</p>
</div>",/Library/Article/jack-clement-1931-2013,"Jack Clement, 1931-2013",Tony Russell,The Guardian,Obituary,11 August 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/robbie-fulks-igone-away-backwardi"">Robbie Fulks: <i>Gone Away Backward</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 27 August 2013</p>
<p class=""excerpt"">ALWAYS THE CONTENTIOUS KIND, Robbie Fulks flexes the old Tareyton Cigarettes mode of doing business: ""I'd rather fight than switch."" To that end, he's remained ...</p>
</div>",/Library/Article/robbie-fulks-igone-away-backwardi,Gone Away Backward,Holly Gleason,Paste,Review,27 August 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/kris-kristofferson-2"">Kris Kristofferson</a></p>
<p>Interview by David Burke, <i>R2/Rock'n'Reel</i>, September 2013</p>
<p class=""excerpt"">HUMILITY can be a deceptive character trait. Those who profess it are not always quite as humble as they seem. Like Friedrich Nietzsche wrote, ""He ...</p>
</div>",/Library/Article/kris-kristofferson-2,Kris Kristofferson,David Burke,R2/Rock'n'Reel,Interview,September 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/nitty-gritty-dirt-band-the-making-of-iwill-the-circle-be-unbrokeni"">Nitty Gritty Dirt Band, The: Nitty Gritty Dirt Band: The Making Of <i>Will The Circle Be Unbroken</i></a></p>
<p>Retrospective and Interview by Johnny Black, <i>Country</i>, October 2013</p>
<p class=""excerpt"">AT THE START of the '70s, America was riven by conflict. Inter-racial strife, the Vietnam War and the emergence of a new, left-leaning youth culture, ...</p>
</div>",/Library/Article/nitty-gritty-dirt-band-the-making-of-iwill-the-circle-be-unbrokeni,Nitty Gritty Dirt Band: The Making Of Will The Circle Be Unbroken,Johnny Black,Country,Retrospective and Interview,October 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/ray-price-1926-2013"">Ray Price 1926-2013</a></p>
<p>Obituary by Tony Russell, <i>The Guardian</i>, 18 December 2013</p>
<p class=""excerpt"">COUNTRY MUSIC entered a golden period after the second world war, as scattered regional styles such as honkytonk, western swing and bluegrass began to coalesce ...</p>
</div>",/Library/Article/ray-price-1926-2013,Ray Price 1926-2013,Tony Russell,The Guardian,Obituary,18 December 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/kandia-crazy-horse-i-stampedei"">Kandia Crazy Horse: <i> Stampede</i></a></p>
<p>Review by Barney Hoskyns, <i>MOJO</i>, Fall 2013</p>
<p class=""excerpt"">Stellar first offering from maverick former contributor to the Village Voice and Creative Loafing ...</p>
</div>",/Library/Article/kandia-crazy-horse-i-stampedei, Stampede,Barney Hoskyns,MOJO,Review,Fall 2013
"<div class=""article-listing"">
<p><a href=""/Library/Article/johnny-horton-"">Johnny Horton </a></p>
<p>Retrospective by David Burke, <i>Vintage Rock</i>, 2014</p>
<p class=""excerpt"">THE ANNALS OF rock 'n' roll are littered with tragic narratives of lives cut short in their prime, whether it be Eddie Cochran's death in ...</p>
</div>",/Library/Article/johnny-horton-,Johnny Horton ,David Burke,Vintage Rock,Retrospective,2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/eye-witness-spade-cooley-murders-his-wife"">Spade Cooley: Eye Witness: Spade Cooley Murders His Wife</a></p>
<p>Retrospective by Johnny Black, <i>Country</i>, January 2014</p>
<p class=""excerpt"">IN THE EARLY 1960s, ageing country music star Spade Cooley and his significantly younger wife Ella Mae were living on his remote ranch, Rosamund, in ...</p>
</div>",/Library/Article/eye-witness-spade-cooley-murders-his-wife,Eye Witness: Spade Cooley Murders His Wife,Johnny Black,Country,Retrospective,January 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/remembering-phil-everly"">Phil Everly, Everly Brothers, The: Remembering Phil Everly</a></p>
<p>Memoir by Peter Stone Brown, <i>CounterPunch</i>, 3 January 2014</p>
<p class=""excerpt"">I PROBABLY FIRST heard the Everly Brothers when I was a real little kid about six or seven, playing in the driveway behind my family's ...</p>
</div>",/Library/Article/remembering-phil-everly,Remembering Phil Everly,Peter Stone Brown,CounterPunch,Memoir,3 January 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/phil-everly-never-got-to-soar-as-a-solo-act"">Phil Everly never got to soar as a solo act</a></p>
<p>Obituary by Joel Selvin, <i>San Francisco Chronicle</i>, 4 January 2014</p>
<p class=""excerpt"">Phil Everly never got to be his own man. He was always – and always will be - Phil Everly of the Everly Brothers. ...</p>
</div>",/Library/Article/phil-everly-never-got-to-soar-as-a-solo-act,Phil Everly never got to soar as a solo act,Joel Selvin,San Francisco Chronicle,Obituary,4 January 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/rosanne-cash-ithe-river--the-threadi"">Rosanne Cash: <i>The River &amp; The Thread</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 21 January 2014</p>
<p class=""excerpt"">LIKE A GOOD claret or damp moss, Rosanne Cash's singing is something to sink into. Surrender to the tones – mostly dark, but marked by ...</p>
</div>",/Library/Article/rosanne-cash-ithe-river--the-threadi,The River & The Thread,Holly Gleason,Paste,Review,21 January 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/matraca-berg-the-daughter-of-music-row"">Matraca Berg: The Daughter of Music Row</a></p>
<p>Retrospective and Interview by Holly Gleason, <i>Oxford American</i>, 22 January 2014</p>
<p class=""excerpt"">A SLIGHT, YOUNG brunette stood alone in a navy Richard Tyler slip on the Opry House stage, backed by a pianist and a string quartet, ...</p>
</div>",/Library/Article/matraca-berg-the-daughter-of-music-row,The Daughter of Music Row,Holly Gleason,Oxford American,Retrospective and Interview,22 January 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/kacey-musgraves-a-whole-new-trailer-park"">Kacey Musgraves: A Whole New Trailer Park</a></p>
<p>Interview by Geoffrey Himes, <i>Nashville Scene</i>, 23 January 2014</p>
<p class=""excerpt"">Kacey Musgraves tops this year's poll for one simple reason: good, smart songs ...</p>
</div>",/Library/Article/kacey-musgraves-a-whole-new-trailer-park,A Whole New Trailer Park,Geoffrey Himes,Nashville Scene,Interview,23 January 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/sheryl-crow-5"">Sheryl Crow</a></p>
<p>Report and Interview by David Burke, <i>R2/Rock'n'Reel</i>, March 2014</p>
<p class=""excerpt"">SHERYL CROW'S made a country album, they said. She's living down there in Nashville, hanging out with Vince Gill and Brad Paisley, going to church ...</p>
</div>",/Library/Article/sheryl-crow-5,Sheryl Crow,David Burke,R2/Rock'n'Reel,Report and Interview,March 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/bla-fleck-and-abigail-washburn"">Béla Fleck, Abigail Washburn: Béla Fleck and Abigail Washburn</a></p>
<p>Interview by Bill DeYoung, <i>Connect Savannah</i>, April 2014</p>
<p class=""excerpt"">FROM LOUIS &amp; Keely to John &amp; Yoko to Derek &amp; Susan, married couples have worked together to give us some of the most interesting ...</p>
</div>",/Library/Article/bla-fleck-and-abigail-washburn,Béla Fleck and Abigail Washburn,Bill DeYoung,Connect Savannah,Interview,April 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/nickel-creek-ia-dotted-linei"">Nickel Creek: <i>A Dotted Line</i></a></p>
<p>Review by Holly Gleason, <i>Paste</i>, 1 April 2014</p>
<p class=""excerpt"">FROM SEAN WATKINS' FIRST commanding acoustic guitar strokes on 'The Rest of My Life', it's obvious Nickel Creek has grown up. Sister Sara Watkins' fiddle ...</p>
</div>",/Library/Article/nickel-creek-ia-dotted-linei,A Dotted Line,Holly Gleason,Paste,Review,1 April 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/country-musics-gay-stars-were-still-kicking-down-the-closet-door"">Lavender Country, Chely Wright: Country music's gay stars: ""We're still kicking down the closet door""</a></p>
<p>Report and Interview by Graeme Thomson, <i>The Guardian</i>, 10 April 2014</p>
<p class=""excerpt"">Country music is known for tears, beers and big hats – not gay anthems. One singer set out 40 years ago to change that, but ...</p>
</div>",/Library/Article/country-musics-gay-stars-were-still-kicking-down-the-closet-door,"Country music's gay stars: ""We're still kicking down the closet door""",Graeme Thomson,The Guardian,Report and Interview,10 April 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/don-felder-surprised-at-ex-eagles-mates-ill-will-toward-him"">Don Felder, Eagles, The: Don Felder Surprised at Ex-Eagles Mates' Ill Will Toward Him</a></p>
<p>Interview by Bob Ruggiero, <i>Houston Press</i>, 16 May 2014</p>
<p class=""excerpt"">WHEN GUITARIST Don Felder joined the Eagles in 1974, he was seen by many as a sort of bridge member, as the band was morphing ...</p>
</div>",/Library/Article/don-felder-surprised-at-ex-eagles-mates-ill-will-toward-him,Don Felder Surprised at Ex-Eagles Mates' Ill Will Toward Him,Bob Ruggiero,Houston Press,Interview,16 May 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/sturgill-simpson-imetamodern-sounds-in-country-musici-loose"">Sturgill Simpson: <i>Metamodern Sounds in Country Music</i> (Loose)</a></p>
<p>Review by Rob Hughes, <i>Uncut</i>, June 2014</p>
<p class=""excerpt"">Anyone for metaphysical prog country? Nashville songwriter heads for the stars ...</p>
</div>",/Library/Article/sturgill-simpson-imetamodern-sounds-in-country-musici-loose,Metamodern Sounds in Country Music (Loose),Rob Hughes,Uncut,Review,June 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/holly-williams"">Holly Williams</a></p>
<p>Profile and Interview by David Burke, <i>R2/Rock'n'Reel</i>, July 2014</p>
<p class=""excerpt"">HOLLY WILLIAMS carries her lineage lightly. Which can't be easy when your grandfather was Hank Williams Sr, the beating heart and tortured soul of country ...</p>
</div>",/Library/Article/holly-williams,Holly Williams,David Burke,R2/Rock'n'Reel,Profile and Interview,July 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/kenny-chesney"">Kenny Chesney</a></p>
<p>Profile and Interview by Alan Light, <i>Radio.com</i>, September 2014</p>
<p class=""excerpt"">""THERE'S THIS perception that I only sing about partying and getting drunk,"" says Kenny Chesney. ""If people saw how hard I work, and how much ...</p>
</div>",/Library/Article/kenny-chesney,Kenny Chesney,Alan Light,Radio.com,Profile and Interview,September 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/sid-griffin-ithe-trick-is-to-breathei"">Sid Griffin: <i>The Trick is To Breathe</i></a></p>
<p>Review by Terry Staunton, <i>Uncut</i>, December 2014</p>
<p class=""excerpt"">SINCE THE demise of the Long Ryders at the beginning of the '90s, Kentucky native Griffin has made London his musical base, cutting records mostly ...</p>
</div>",/Library/Article/sid-griffin-ithe-trick-is-to-breathei,The Trick is To Breathe,Terry Staunton,Uncut,Review,December 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/paul-english-watching-willies-back"">Willie Nelson: Paul English: Watching Willie's Back</a></p>
<p>Profile and Interview by Joe Nick Patoski, <i>Oxford American</i>, 13 Winter 2014</p>
<p class=""excerpt"">PAUL ENGLISH was talking about breaking someone's legs, cheerily using the threat as a means to get to the punch line of a story. The ...</p>
</div>",/Library/Article/paul-english-watching-willies-back,Paul English: Watching Willie's Back,Joe Nick Patoski,Oxford American,Profile and Interview,13 Winter 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/ithe-byrd-who-flew-alone-the-triumphs-and-tragedy-of-gene-clarki-four-suns-dvd"">Gene Clark: <i>The Byrd Who Flew Alone: The Triumphs and Tragedy of Gene Clark</i> (Four Suns DVD)</a></p>
<p>Film/DVD/TV Review by Bill Wasserzieher, <i>Ugly Things</i>, Spring 2014</p>
<p class=""excerpt"">OF ALL THE hard-luck tales about musicians who died before their time – Brian Jones, Hendrix, Joplin, Morrison, Parsons, Bloomfield, Cobain, Winehouse, et al. – ...</p>
</div>",/Library/Article/ithe-byrd-who-flew-alone-the-triumphs-and-tragedy-of-gene-clarki-four-suns-dvd,The Byrd Who Flew Alone: The Triumphs and Tragedy of Gene Clark (Four Suns DVD),Bill Wasserzieher,Ugly Things,Film/DVD/TV Review,Spring 2014
"<div class=""article-listing"">
<p><a href=""/Library/Article/little-jimmy-dickens-1920-2015"">Little Jimmy Dickens, 1920-2015</a></p>
<p>Obituary by Tony Russell, <i>The Guardian</i>, 8 January 2015</p>
<p class=""excerpt"">Country music star of the 1950s and '60s who remained a stalwart of the Grand Ole Opry. ...</p>
</div>",/Library/Article/little-jimmy-dickens-1920-2015,"Little Jimmy Dickens, 1920-2015",Tony Russell,The Guardian,Obituary,8 January 2015
